,service_date,day_type,bus,rail_boardings,total_rides
7155,2020-08-04,W,326128,157759,483887
7156,2020-08-05,W,319021,157695,476716
7157,2020-08-06,W,320751,159609,480360
7158,2020-08-07,W,326107,164886,490993
7159,2020-08-08,A,232723,118676,351399
7160,2020-08-09,U,175080,93832,268912
7161,2020-08-10,W,250672,96642,347314
7162,2020-08-11,W,309009,138581,447590
7163,2020-08-12,W,313739,146680,460419
7164,2020-08-13,W,313917,150941,464858
7165,2020-08-14,W,315311,155653,470964
7166,2020-08-15,A,215071,107720,322791
7167,2020-08-16,U,172492,89599,262091
7168,2020-08-17,W,304431,147684,452115
7169,2020-08-18,W,313038,155406,468444
7170,2020-08-19,W,317835,158653,476488
7171,2020-08-20,W,317199,160843,478042
7172,2020-08-21,W,322563,165104,487667
7173,2020-08-22,A,229626,119732,349358
7174,2020-08-23,U,167737,93123,260860
7175,2020-08-24,W,295919,152126,448045
7176,2020-08-25,W,306720,156020,462740
7177,2020-08-26,W,311882,158419,470301
7178,2020-08-27,W,307570,159603,467173
7179,2020-08-28,W,313712,163890,477602
7180,2020-08-29,A,228415,120335,348750
7181,2020-08-30,U,172100,96089,268189
7182,2020-08-31,W,312659,156093,468752
7183,2020-09-01,W,320186,157112,477298
7184,2020-09-02,W,335025,167989,503014
7185,2020-09-03,W,347516,172408,519924
7186,2020-09-04,W,339339,176834,516173
7187,2020-09-05,A,239660,134087,373747
7188,2020-09-06,U,161152,98132,259284
7189,2020-09-07,U,189391,104992,294383
7190,2020-09-08,W,288854,151558,440412
7191,2020-09-09,W,318510,162823,481333
7192,2020-09-10,W,320927,167696,488623
7193,2020-09-11,W,323815,172643,496458
7194,2020-09-12,A,213040,118325,331365
7195,2020-09-13,U,183881,104162,288043
7196,2020-09-14,W,314508,159479,473987
7197,2020-09-15,W,323465,166872,490337
7198,2020-09-16,W,323500,171467,494967
7199,2020-09-17,W,322703,171455,494158
7200,2020-09-18,W,329339,179021,508360
7201,2020-09-19,A,240028,135343,375371
7202,2020-09-20,U,175502,101785,277287
7203,2020-09-21,W,312717,160531,473248
7204,2020-09-22,W,324554,166852,491406
7205,2020-09-23,W,326416,169407,495823
7206,2020-09-24,W,321314,169953,491267
7207,2020-09-25,W,338121,180938,519059
7208,2020-09-26,A,239686,136388,376074
7209,2020-09-27,U,176943,102308,279251
7210,2020-09-28,W,299874,158980,458854
7211,2020-09-29,W,323062,167874,490936
